discomfort,Glare_diagram,describe,Experiment,participant,ev,edir,eindir,log_gc,dgp,cgi,dgi,dgi_mod,av_lum,med_lum,ugr,ugp,ugr_exp,av_lum_cie,,,,,,,,,,
No,0,Noticeable,1,16,815.630352,574.974075,245.2983613,0.559975255,0.25928323,28.69206154,19.2635467,18.75360782,190.245227,39.064239,26.95950659,0.638588928,18.77523357,259.6232045,,,,,,,,,,
No,0,Imperceptible,1,16,530.363131,352.036434,183.2746678,0.549706776,0.241595398,26.46968674,17.99749998,17.56676993,124.842131,25.794083,25.06202761,0.607145648,16.56138839,168.8198279,,,,,,,,,,
No,0,Imperceptible,1,16,942.049712,630.517843,311.5318635,0.294080933,0.242294948,25.83016408,16.44254459,16.04764006,257.747942,57.128682,23.59275462,0.581669213,17.03479756,299.8637366,,,,,,,,,,
Yes,1,Noticeable,1,17,1148.545132,857.821134,290.7239926,0.608299272,0.283261472,31.06121525,20.99932805,20.33258782,251.183224,46.608756,29.11605139,0.672226215,21.51211911,365.5932702,,,,,,,,,,
No,0,Imperceptible,1,17,2093.639934,1568.425316,525.3207219,0.356131196,0.315589508,31.28701245,19.92802876,19.30690225,521.214303,105.809542,27.9099525,0.653694131,22.32574997,666.4262891,,,,,,,,,,
No,0,Imperceptible,1,17,1325.045992,950.168073,374.9771633,0.359470051,0.27077955,28.71808037,18.70342189,18.14243379,331.481681,69.585997,26.15678185,0.625493213,20.15543266,421.7752389,,,,,,,,,,
No,0,Imperceptible,1,17,728.19273,488.598458,239.7264729,0.586581076,0.256593056,28.34873489,19.48478735,19.03422953,158.804093,34.779523,26.59305733,0.632648698,18.68748825,231.790945,,,,,,,,,,
Yes,1,Disturbing,1,18,2128.919213,1608.290533,520.628671,0.341702974,0.316335891,31.19479847,19.72473696,19.08299502,540.198042,109.439193,27.84064272,0.652607448,22.2252056,677.6560324,,,,,,,,,,
Yes,1,Noticeable,1,18,1579.480247,1148.455885,431.0243569,0.339331748,0.283866145,29.40273839,18.66935893,18.12454097,408.401253,80.319089,26.52245796,0.631496899,20.32281431,502.7641777,,,,,,,,,,
Yes,1,Noticeable,1,18,760.910508,532.528097,228.4233465,0.601108078,0.259847168,28.78858927,19.75066708,19.2001863,166.961579,31.760974,27.2023581,0.642490105,19.20367767,242.2053372,,,,,,,,,,
