E_v,lum_sources,omega_sources,position index
157.184911,8023.080458,0.0077464818,3.228108
22.532618,37.954145,37.948445,14.850851
432.459793,8441.500711,0.0078247591,3.021810
432.459793,9014.301970,0.0224583278,1.494402
30.231848,61.252589,240.029105,22.859461
651.709503,9703.674127,0.0459542612,1.669734
31.488224,78.229077,405.945607,22.826057
406.462074,10470.022058,0.0232284420,1.510506
31.269590,53.666679,237.863228,22.994167
153.623683,5214.194043,0.0197251680,1.415862
28.974590,16.753239,100.991831,21.887043
116.170718,8676.656089,0.0077577058,2.730206
25.347404,22.469039,45.582149,17.197683
332.081365,5631.053145,0.0410035704,1.597669
29.125978,38.050713,212.541522,21.750784
201.333074,3105.976427,0.0109869361,1.461897
201.333074,4132.583867,0.0005324552,15.629802
21.773611,53.170418,34.293276,15.570689
402.571825,7964.585959,0.0077380573,2.891142
402.571825,8448.135394,0.0220853374,1.499037
29.898945,57.120059,223.123864,22.699253
374.347562,9465.146082,0.0226891954,1.508073
30.651556,52.238398,210.235793,22.589920
180.599420,9373.249565,0.0080104796,2.847837
24.203621,41.515766,50.173794,16.393185
675.493516,10204.769229,0.0464091203,1.674247
31.824623,77.824662,431.000127,23.057293
561.335005,8452.605034,0.0436781800,1.675746
30.565342,71.876917,335.527008,22.255754
438.412840,8268.506448,0.0079911400,2.900485
438.412840,8971.553102,0.0226426867,1.507657
30.149887,62.408359,242.351196,22.812605
377.527419,9408.441559,0.0229408231,1.513060
30.603168,52.801136,211.647756,22.556671
177.787824,8623.903688,0.0080064478,2.639935
24.193796,41.018640,48.923965,16.534977
584.393575,8823.002205,0.0438184233,1.689610
30.738785,74.464107,350.457679,22.326654
459.239728,8264.758386,0.0083862325,2.892584
459.239728,9146.091960,0.0238188441,1.521226
30.307878,63.771145,258.896765,22.902992
179.900471,8912.382255,0.0082209147,2.945977
23.705929,41.940815,48.139513,15.937043
382.940420,9729.111709,0.0230707424,1.520698
30.811771,51.866698,219.996380,22.697117
407.227609,7841.265784,0.0078170956,2.866809
407.227609,8193.931481,0.0222713034,1.512855
29.613667,59.760090,219.485745,22.474329
173.476490,8093.150172,0.0078860204,2.900821
23.089031,41.726841,42.387751,15.527352
363.847003,8461.043596,0.0228013985,1.519022
363.847003,4898.681904,0.0004239746,16.000000
29.836058,55.482051,189.544996,21.997232
634.296944,9042.938722,0.0463867875,1.658237
31.088697,79.620075,384.163097,22.578920
418.003033,8444.656950,0.0080837520,3.047212
418.003033,8690.962789,0.0222182178,1.492908
30.051687,59.269583,231.802145,22.772102
181.449675,9617.125535,0.0081615268,2.871935
24.372288,41.293997,51.720756,16.395634
696.241524,10590.076283,0.0463992508,1.703858
31.898268,80.589035,443.063601,23.014826
427.449751,11374.421676,0.0232561862,1.519370
31.729658,53.774815,258.511184,23.279585
110.176001,9135.368228,0.0078241126,2.956066
25.361082,20.623596,45.385064,16.906464
330.157648,10285.196712,0.0227130473,1.468487
31.942745,32.297364,228.692484,23.683872
